var_0,var_1,var_2,var_3,quality
23,40,8,5,6.589204287736953
19,43,33,26,25.76578342538183
11,4,34,21,7.504420814938694
50,32,10,29,10.382303742576902
21,36,26,52,28.2800172327973
43,48,3,16,1.2798835959636943
15,44,19,50,19.90740025391161
39,52,22,17,23.18951257063339
39,16,4,22,2.0461696335446353
44,49,50,25,34.673262025954195
51,45,27,15,20.7828211894305
29,51,47,35,39.51774946780143
17,39,46,9,12.40638673476884
19,40,43,30,25.76578342538183
11,10,25,38,13.436779696766973
52,44,16,48,18.743615962788514
23,44,47,13,18.227273497652114
35,5,48,20,10.119297550311007
51,19,41,23,27.281700833437448
23,40,32,8,11.385257925414827
23,19,51,8,11.385257925414827
38,13,43,26,20.09159111941068
44,31,26,4,6.165207432065431
48,36,51,22,31.231408962873296
10,46,13,44,12.631736439150894
29,23,17,4,6.165207432065431
42,28,20,5,7.340551356923348
11,47,26,43,14.663931188488696
46,48,17,19,19.95809114432655
48,13,19,28,19.917746758308006
11,20,35,19,14.663931188488696
16,36,34,29,21.630848065935965
49,5,51,45,10.119302189309062
21,47,14,37,16.030262020784786
10,37,38,18,13.30071963065769
40,31,38,49,45.42809813734022
26,43,6,24,4.581829190463551
25,12,25,17,17.30726977437691
23,49,47,12,16.24646562650957
36,23,28,30,32.49503604438696
39,28,38,18,25.6867927737633
50,50,17,12,16.248160525147863
26,6,23,18,10.530651311610244
23,42,29,17,23.18951257063339
15,23,41,35,20.229309807366498
37,19,12,5,7.340551356923348
37,8,16,19,14.030514455299306
23,29,41,7,10.077242479384134
45,41,11,18,11.771938983616257
51,22,38,34,33.4233624580756
52,15,4,16,2.0461696335446353
46,6,30,50,10.531013721820123
16,11,13,12,14.255931711518707
25,34,3,22,1.2798835959636943
21,34,42,18,24.88107515724785
3,9,49,18,3.643359285151712
8,38,30,48,10.532551802911058
29,25,42,45,36.27724926806126
8,28,22,31,10.532551802911058
37,35,23,26,28.3352486812519
14,47,26,8,11.688188130854192
3,21,16,31,3.643359285151712
12,4,39,6,6.9700733171525435
23,44,41,13,18.227273497652114
26,29,25,22,30.06267693532581
40,16,32,10,13.29598592175499
50,42,25,5,7.340551356923348
7,22,5,29,3.306701985466447
41,5,36,18,10.118879697428058
47,26,37,13,18.227273497652114
47,8,43,38,13.976414699029007
10,19,17,30,13.28337662002465
47,35,21,19,24.316188741373665
45,45,15,34,17.285239473573633
48,9,44,51,13.777535426863158
35,39,5,25,3.306701985466447
45,46,23,40,28.52706852303215
26,38,28,50,34.20849291747089
4,9,37,33,4.9683996260209975
10,18,18,19,13.30071963065769
45,45,29,17,23.18951257063339
24,19,13,49,14.748826161780944
20,43,31,10,13.154049821321847
17,43,37,30,22.983509433070154
13,37,12,44,13.28448735108307
5,7,6,21,3.873400567412011
18,12,35,29,17.331812277308345
5,48,35,15,6.380362326438906
24,17,27,27,24.296725084225958
44,25,32,40,36.396289256983266
49,3,9,11,4.360572630454069
4,23,5,18,2.4789764673021684
15,23,35,25,20.229309807366498
52,15,6,15,4.581829190463551
25,26,47,22,30.580160348232265
5,29,27,41,6.380362326438906
47,15,32,40,22.60609830674312
27,27,16,51,18.743615962788514
52,29,4,46,2.0461696335446353
52,43,47,16,22.211547987002767
14,8,5,8,3.28538079418939
19,10,49,21,14.678577181852768
21,9,25,9,12.40638673476884
13,19,4,42,2.0461696335446353
10,16,8,24,7.613661361048425
9,13,13,9,11.179284174115196
15,39,27,48,20.229309807366498
36,9,36,44,13.777535386843917
32,26,43,6,8.786913675209291
41,14,24,26,21.656515806873607
35,37,26,41,32.54568610956562
32,50,40,34,43.590382299487906
30,36,37,39,40.6673780229617
38,13,28,19,20.093351856174653
47,34,16,6,8.786913675209291
24,15,8,35,7.613661361048425
41,48,28,50,35.3450480647201
19,43,6,22,4.581829190463551
14,30,5,16,3.306701985466447
31,47,14,14,16.10690175558222
17,12,21,3,3.521110412390976
29,18,33,23,27.988974319169905
4,41,41,18,5.030152666954766
10,46,48,44,13.296711246863644
13,28,19,39,17.416802655582707
31,4,21,10,7.497919117318838
14,10,8,45,7.613661361048425
30,34,39,26,35.710821111820486
47,30,12,46,13.337273309863852
12,32,39,4,6.165207432065431
22,40,4,39,2.0461696335446353
34,37,31,17,23.18951257063339
4,47,4,49,2.0423497309438505
49,38,31,7,10.077242479384134
49,43,42,24,33.33135772953687
30,26,29,21,28.710091116258738
40,45,52,24,33.33135772953687
12,10,49,12,14.063411106946926
40,8,5,22,3.306701985466447
37,32,5,7,3.18746772005689
43,5,36,40,10.119302184423406
25,28,8,18,7.613661361048425
25,22,37,13,18.227273497652114
21,49,47,19,25.24329310047435
23,25,14,18,15.97085849279227
32,23,27,13,18.227273497652114
9,3,32,29,4.324554027592741
11,44,48,13,14.619067790787168
24,49,27,42,32.01967933326902
39,42,34,42,43.64838788818692
44,13,29,51,20.091365495934568
38,25,34,23,31.6144708443828
19,48,6,32,4.581829190463551
31,36,18,10,13.29598592175499
37,16,17,47,20.017772138667517
37,28,34,33,41.886400759815885
19,42,44,51,25.76578342538183
24,50,31,32,32.6175786392262
13,49,23,47,17.4338837230921
14,49,40,38,18.817476941744857
17,14,24,44,21.028293105058413
19,35,44,3,3.521110412390976
21,22,16,34,18.743615962788514
45,51,14,23,16.030262020784786
44,8,5,5,3.328474591700642
30,21,11,37,11.771938983616257
9,4,44,37,7.439698142964699
46,15,21,32,22.492052476043618
8,16,19,51,10.532551802911058
48,8,8,43,7.688476125178558
42,18,14,18,15.97085849279227
4,11,20,27,5.043353453454389
46,25,28,33,35.696696982973016
44,17,11,47,11.771938983616257
3,31,26,32,3.643359285151712
9,17,44,46,11.945135747096126
34,40,8,24,7.613661361048425
5,18,3,4,0.9720291416335664
5,36,34,23,6.380362326438906
29,28,23,36,28.3352486812519
13,31,35,3,3.521110412390976
48,41,22,24,27.052431735102815
36,22,16,9,12.385886441328026
28,52,39,37,38.200725331646915
21,21,36,8,11.385257925414827
16,44,42,37,21.630848065935965
22,29,42,5,7.340551356923348
14,49,19,36,18.64295681818828
28,16,27,16,22.211547987002767
39,42,21,10,13.29598592175499
39,19,24,6,8.786913675209291
5,3,17,11,3.9317965389860876
43,32,48,52,47.37131619512041
49,45,31,13,18.227273497652114
10,7,40,5,6.780987533592132
19,41,37,36,25.76578342538183
46,17,34,49,24.285750315416404
3,20,26,18,3.643359285151712
25,27,20,31,24.270038669231344
13,42,5,32,3.306701985466447
21,39,10,49,10.382303742576902
20,6,42,28,10.530880383019895
8,33,48,43,10.532551802911058
42,24,41,6,8.786913675209291
21,27,20,8,11.385257925414827
27,19,31,20,26.601282746333627
28,15,33,23,22.599542625791962
29,20,34,48,28.73797931092103
49,46,36,32,44.78886338851048
45,25,24,29,29.94345318155335
35,17,39,24,24.29042394599678
32,20,34,17,23.961620692521223
36,45,10,4,6.165207432065431
6,39,47,21,7.710440851639495
12,25,21,37,15.947779139801225
32,37,45,52,43.8239072932395
10,31,19,25,13.296711246863644
49,3,15,21,4.323638113811747
32,20,33,25,28.74164837171551
43,27,32,24,33.97876842895294
37,7,27,18,12.698345448714864
17,52,47,29,22.983509433070154
18,41,36,8,11.385257925414827
3,30,3,34,1.0915126564873032
51,25,11,37,11.771938983616257
35,14,31,18,21.530107680053565
23,36,42,20,27.668748718176413
38,30,6,17,4.581829190463551
13,29,4,35,2.0461696335446353
10,19,42,37,13.296711246863644
38,14,26,48,21.65035411537091
3,22,43,28,3.643359285151712
26,17,5,42,3.306701985466447
3,22,43,27,3.643359285151712
34,15,4,16,2.0461696335446353
50,46,36,46,46.595456007264325
28,50,20,46,24.270038669231344
36,34,42,13,18.227273497652114
16,28,4,37,2.0461696335446353
9,19,22,52,11.945135747096126
44,30,26,32,32.54568610956562
27,5,17,24,10.116154799529353
27,5,17,23,10.116154799529353
40,44,43,8,11.385257925414827
48,33,24,27,29.741268152903228
30,39,51,30,39.7293490433372
29,46,33,32,39.288049277737784
42,25,42,31,36.41155665074547
18,30,37,23,24.382088696957922
39,39,36,10,13.29598592175499
32,10,43,31,14.675380206659277
21,9,26,41,13.777563503809796
42,7,51,5,6.817173444535425
22,50,51,26,29.839532186341643
47,26,12,37,13.337273309863852
48,24,27,44,34.14713961365931
24,42,11,31,11.771938983616257
44,37,40,27,37.54410243102061
32,48,31,30,39.23626043995975
36,32,31,38,39.65164817224445
17,32,7,48,6.171741527903025
36,43,4,41,2.0461696335446353
23,11,28,10,13.154049821321847
30,5,28,19,10.119143594355693
10,23,9,31,9.100079595829946
3,45,16,23,3.643359285151712
47,21,15,30,17.285239473573633
37,10,40,35,14.675381337179065
14,47,38,10,13.154049821321847
44,7,52,50,12.698411660684117
5,32,22,43,6.380362326438906
34,10,35,19,14.675796284432856
24,9,49,24,13.777563503809796
5,30,7,39,5.084039729995822
12,14,36,34,15.924614014293734
29,34,24,42,29.88364207884479
7,15,3,47,1.2798835959636943
30,46,37,27,37.88473589183342
31,10,51,51,14.675380206659277
45,46,25,3,3.521110412390976
46,43,12,32,13.337273309863852
31,14,37,18,21.530107680053565
34,46,51,49,46.58040806870648
14,50,32,49,18.817476941744857
48,52,44,15,20.7828211894305
35,47,43,42,47.92240831290123
5,38,45,14,6.380362326438906
41,14,44,14,19.423162995153362
39,21,17,14,19.305239582328852
44,14,41,23,21.646670768291077
20,15,44,27,22.610999286955256
35,34,10,4,6.165207432065431
27,43,43,23,31.35706882372522
25,15,35,50,22.60335422536502
15,25,8,3,3.6779022083892063
25,40,15,52,17.285239473573633
15,10,38,16,14.615669504505718
26,47,14,3,3.521110412390976
52,34,4,42,2.0461696335446353
4,41,22,39,5.030152666954766
11,28,29,40,14.663931188488696
38,8,31,34,13.976416186930745
38,23,11,30,11.771938983616257
38,34,37,21,28.710091116258738
34,29,39,49,41.7219832988972
38,5,44,30,10.119302125355494
30,38,42,3,3.521110412390976
11,13,21,29,14.580866379514216
24,38,13,4,6.165207432065431
9,8,18,43,11.754632424113831
38,35,34,12,16.24646562650957
16,6,12,34,10.349154501292714
37,12,12,11,12.280196618933248
22,31,14,17,16.030262020784786
16,26,42,24,21.630848065935965
30,40,52,12,16.24646562650957
42,23,23,9,12.40638673476884
29,49,27,48,33.91172232497898
42,49,29,6,8.786913675209291
24,32,22,11,15.448635835385595
27,11,52,44,17.45089590137261
28,32,48,16,22.211547987002767
51,24,25,44,31.487801221002847
5,27,4,27,1.8270113957808283
16,5,31,10,10.09657477948523
15,35,34,29,20.229309807366498
47,27,39,40,39.576278503751865
17,13,11,50,11.79591892531974
13,40,28,22,17.4338837230921
18,46,21,12,16.24646562650957
37,31,49,35,45.52993438372095
25,36,17,8,11.688188130854192
46,26,23,6,8.786913675209291
6,26,49,29,7.710440851639495
9,46,15,49,11.867754710001737
13,43,5,46,3.306701985466447
34,12,19,36,17.356659692945897
36,3,15,4,4.077188686078251
33,45,8,27,7.613661361048425
15,36,10,39,10.382303742576902
8,51,20,48,10.532551802911058
37,16,47,16,22.211547987002767
30,44,24,21,27.942022278337106
3,48,36,15,3.643359285151712
49,42,3,21,1.2798835959636943
44,9,43,40,13.777535426551381
21,28,11,7,10.402528018909647
45,24,51,15,20.7828211894305
36,19,4,4,1.7374961342576345
24,35,22,5,7.340551356923348
4,4,19,32,4.69891889728827
36,47,24,32,29.88364207884479
17,8,46,45,13.97928511689099
33,7,31,17,12.699006361207665
51,34,52,14,19.423162995153362
3,45,31,51,3.643359285151712
38,11,24,46,17.451075221083588
51,7,6,11,4.34190448671561
24,7,46,22,12.698593265307634
39,43,41,16,22.211547987002767
26,24,26,25,32.00114783057123
46,36,40,29,40.32730171833016
34,22,20,16,21.804561754470733
31,14,24,40,21.656515806873607
46,46,30,4,6.165207432065431
33,51,52,48,45.15327945800606
38,27,21,33,25.60097082554108
42,17,6,13,4.581829190463551
25,8,9,45,8.918628238051824
7,29,7,4,4.767400808208434
44,24,25,31,31.487801221002847
15,34,43,27,20.229309807366498
3,30,42,43,3.643359285151712
40,25,27,6,8.786913675209291
44,39,44,16,22.211547987002767
12,11,50,19,15.372125581286662
26,11,19,32,17.41552745921725
22,44,43,49,29.839532186341643
15,3,31,43,4.322577653941094
6,13,51,43,7.710440851639495
6,3,44,15,4.1685386807982345
17,11,33,40,17.41552745921725
28,38,41,41,38.200725331646915
24,45,26,51,31.4376501136202
32,26,18,14,19.582592154917705
10,43,10,42,10.403971253468148
51,29,19,3,3.521110412390976
17,39,3,46,1.2798835959636943
24,37,8,19,7.613661361048425
36,18,20,35,24.325099055362553
51,13,24,20,20.07608251008375
35,44,12,24,13.337273309863852
10,46,45,20,13.30071963065769
7,40,22,47,9.071009128282014
30,21,9,9,9.008418636826542
52,5,36,47,10.119302184423406
40,40,13,31,14.748826161780944
40,50,11,51,11.771938983616257
30,27,13,33,14.748826161780944
32,14,42,46,21.648276707845053
22,12,26,15,17.259070201385356
17,32,41,39,22.983509433070154
47,50,30,43,38.25801379885806
19,27,22,20,25.060202556567955
12,35,39,13,15.881591417537225
6,35,48,34,7.710440851639495
52,29,30,13,18.227273497652114
30,3,23,46,4.322722605510799
6,3,49,19,4.1685386807982345
42,31,19,7,10.077242479384134
15,40,6,6,4.61250910527944
6,48,12,16,7.710440851639495
13,25,22,31,17.4338837230921
9,8,17,24,11.865493140889091
37,16,24,7,10.077242479384134
21,34,42,37,28.500078843938756
4,35,46,24,5.030152666954766
42,36,13,18,14.60026260367172
49,21,34,16,22.211547987002767
11,44,43,29,14.663931188488696
25,7,38,47,12.69842805083215
3,33,29,50,3.643359285151712
16,32,28,31,21.630848065935965
9,5,15,40,10.061043155328068
39,16,19,40,22.261079197333476
18,14,31,29,21.301026680233196
35,15,8,41,7.613661361048425
39,43,43,13,18.227273497652114
25,50,3,5,1.4512965950093373
5,50,50,37,6.380362326438906
8,26,24,37,10.532551802911058
29,3,18,6,4.325250626544087
43,3,44,37,4.322721699246534
3,44,34,38,3.643359285151712
15,13,22,38,19.048492012519567
12,45,4,12,2.0461696335446353
25,15,14,11,14.843161143725881
35,38,26,13,18.227273497652114
21,5,38,3,4.564041932809535
36,19,40,23,27.281700833437448
31,22,50,32,33.42104967179784
4,17,20,6,4.957265198303522
24,23,30,51,31.4564926344662
22,25,13,22,14.748826161780944
16,21,24,33,21.646720933650432
31,40,47,52,42.02937057628513
26,32,39,38,35.27852427812608
13,52,26,17,17.4338837230921
43,36,32,26,36.0882862129122
43,23,17,29,20.154154428458536
19,9,14,39,13.4034951840255
14,17,6,4,3.691405588035336
44,40,44,23,31.6144708443828
14,17,6,6,4.61250910527944
31,51,6,47,4.581829190463551
34,35,6,52,4.581829190463551
10,27,15,9,11.049601481384965
20,27,4,51,2.0461696335446353
16,21,12,29,13.337273309863852
28,16,25,45,23.9895605298373
21,46,47,6,8.786913675209291
8,16,29,47,10.532551802911058
45,34,7,38,6.171741527903025
3,36,14,50,3.643359285151712
38,15,33,27,22.60633710035964
48,16,47,50,24.006200341079314
52,51,51,43,60.03258186310856
46,29,9,50,9.100079595829946
37,18,21,23,25.51105095597815
14,46,40,52,18.817476941744857
19,13,47,18,19.93234989882132
38,46,41,7,10.077242479384134
35,7,40,6,7.292142117792467
39,9,32,37,13.777535347738228
7,10,28,38,8.938123139524976
24,21,41,25,29.605035490939972
43,22,34,42,33.42598703224337
49,22,52,24,33.145770622628696
33,41,13,52,14.748826161780944
35,39,30,18,25.6867927737633
29,15,47,3,3.521110412390976
49,18,26,41,27.917207182838506
5,46,40,22,6.380362326438906
16,48,9,5,7.4910441976662705
30,50,27,8,11.385257925414827
16,30,35,8,11.688188130854192
