var_0,var_1,var_2,var_3,var_4,var_5,var_6,quality
11,19,34,16,12,9,34,-10.586738268534308
32,12,41,47,41,9,20,-10.587504448512849
13,50,44,33,49,7,34,-21.189450864776333
29,49,14,48,31,40,9,10.211735196560564
32,32,52,46,42,18,52,24.10365356888676
51,38,10,50,14,50,4,3.722708844891848
24,25,49,45,20,4,5,5.0150327107623925e-05
4,25,44,7,12,4,26,4.978556816008665e-05
25,20,18,3,45,39,47,4.204136291679013
3,25,50,21,49,36,11,-21.644100847438054
52,10,22,10,6,11,19,-21.19225149649586
7,39,27,17,38,52,14,8.569515030065865
25,50,8,18,34,10,45,-21.18931552063841
15,15,51,30,46,31,34,19.52929852516895
35,21,25,18,22,3,24,5.010432337052866e-05
5,20,46,10,13,46,49,-10.642264520520952
23,21,51,39,46,13,41,17.161503530441134
36,48,5,31,12,42,50,0.009796561854289277
14,14,16,22,20,20,18,17.822194036977024
4,21,16,17,39,43,25,-21.1754204056832
23,44,4,21,35,11,38,5.0104340510122276e-05
41,43,51,49,9,34,31,15.085218190392785
27,38,33,23,11,23,5,4.786430611059631
34,33,52,7,31,27,46,13.419275111682117
29,49,23,40,20,5,33,0.009796561832771103
33,19,47,40,50,35,27,35.166870157439064
31,7,32,13,48,26,4,3.737382190162727
19,40,3,24,25,22,39,5.010423669151833e-05
15,32,27,23,10,50,23,15.759853291754577
28,36,7,13,24,43,18,-21.18934468800482
19,46,5,30,10,25,16,0.009796685874038107
30,32,16,15,24,10,24,13.042040042048525
3,51,24,42,32,41,16,-21.644100847438054
32,3,30,31,5,36,11,-21.185930017775
13,35,6,18,48,39,26,-21.189457023775983
10,38,35,6,27,39,45,3.304708763997032
42,38,12,13,10,22,26,14.811640615073161
18,38,46,42,26,23,39,23.74492068711746
19,6,23,8,28,9,50,-10.587626574569532
5,15,33,44,16,21,34,-10.642264520520952
8,41,10,46,29,19,44,9.521291641746624
29,24,33,17,22,51,24,27.11256854488124
24,23,39,41,10,45,16,16.10727701905585
50,3,39,17,34,41,38,20.574690545597704
13,16,23,35,40,29,52,16.736710021075734
40,29,19,11,28,40,24,4.865260069662167
17,5,23,34,4,15,8,-21.177239277448773
33,17,31,22,29,3,3,5.015032715647619e-05
16,52,24,5,44,31,26,10.726493395116636
27,27,24,18,6,23,37,-10.587714018237895
30,44,48,33,44,34,37,39.93194302677142
36,23,46,16,31,19,26,24.486177290456464
12,28,35,26,3,44,23,-21.192925347753913
24,26,35,34,18,29,19,22.871653031335963
7,5,7,14,31,32,44,-21.17966195097283
16,22,9,37,32,47,9,-10.591658996508615
19,7,37,8,21,35,22,14.795911195362516
37,28,38,45,6,51,48,-10.587713839625746
42,48,50,22,32,19,24,25.485767000192755
24,48,36,13,25,18,26,21.586568535368134
29,5,38,46,23,8,41,-21.189317931447654
22,16,33,44,8,51,25,-10.586875337784985
50,8,33,37,6,36,10,-10.591777850173743
34,21,24,37,22,7,36,-21.189315023868367
12,20,40,33,20,6,37,-21.189472892761355
49,30,39,25,36,45,11,12.911388862106438
21,18,4,37,33,8,17,5.010400596029244e-05
26,27,32,44,21,8,16,-21.189299603396712
45,9,8,28,15,36,24,-21.189315460049887
39,7,22,11,46,37,37,4.865260069662167
50,47,37,50,46,39,43,50.05301239112182
35,26,10,43,23,27,16,13.038338337110766
38,4,50,47,16,5,25,0.009796586152741734
19,27,5,25,10,29,15,0.00979642601693079
23,51,49,10,5,28,44,-21.187963284952726
46,41,23,40,15,28,11,12.799655920774455
26,48,49,33,52,36,18,22.456603992556108
16,12,11,6,11,39,46,11.804640823720307
7,35,34,18,45,32,16,8.569515030065865
23,30,47,28,23,24,50,29.740583910347468
15,9,47,31,3,39,35,-21.190284567110346
6,25,32,8,20,47,35,0.009885207023657526
7,37,22,14,21,39,22,8.569515030065865
22,14,17,42,5,22,52,-21.18805271548894
43,17,24,30,25,7,40,-21.189315025371172
27,31,33,40,51,48,39,36.126564469042805
4,6,44,48,41,11,27,-21.1754204056832
32,15,4,30,41,21,37,5.0104329930054936e-05
36,20,16,5,39,46,19,10.726493395116636
34,9,10,24,16,3,33,5.0104328313600244e-05
12,31,18,44,38,28,41,15.53283982115792
22,50,49,9,44,16,32,1.6162606126649113
26,51,32,36,45,47,47,34.80857069849697
7,44,23,5,38,19,45,7.7111804929679115
16,10,17,4,33,12,39,8.953546964930812
39,32,11,4,45,33,36,8.953546964930812
38,38,18,19,19,45,8,8.904114203435846
14,9,14,50,36,47,40,17.311526093020206
38,12,16,11,37,18,35,4.865260069662167
48,9,39,36,27,40,6,6.215927853666571
45,3,14,34,8,15,6,-10.60811976575593
20,4,25,5,37,11,27,10.73096158097074
34,33,18,45,42,26,9,10.21173518224808
30,28,7,38,14,33,29,-21.189315026425426
24,3,21,24,35,49,22,20.578964868827928
8,33,6,28,50,19,47,-21.17833677845907
26,41,26,4,47,52,32,9.065226006807828
5,33,34,37,18,50,12,-10.642264520520952
5,4,43,21,42,31,10,-10.639276470152451
43,24,19,6,29,44,45,12.160789723833492
9,37,36,25,33,16,50,1.6162606126649113
18,35,28,28,25,23,50,23.74492068711746
7,25,34,3,38,7,19,-21.205946393098092
10,21,50,13,20,34,10,3.304708763997032
39,29,7,34,20,49,7,-21.177236857968108
25,41,41,27,20,18,30,23.829062738938703
15,26,41,28,38,22,4,3.7373746933933045
45,42,50,21,23,16,11,12.799671350916482
13,37,9,27,22,24,15,-10.587674233156509
20,10,9,18,10,46,43,-21.189314777272187
49,15,12,4,16,21,11,8.953546964930812
38,42,13,35,8,28,51,-10.586883199882774
29,43,3,6,8,34,44,5.006795894074047e-05
13,37,14,16,4,28,45,-21.19116023414409
12,11,32,42,26,26,48,15.53283982115792
19,47,46,26,44,47,5,4.76537379066174
12,29,45,47,25,24,40,15.53283982115792
47,41,29,43,6,5,24,0.009794596069944034
22,11,23,52,33,39,36,28.684780925814295
22,27,27,51,49,40,31,29.32611304849885
35,17,15,38,5,28,12,-21.187667751854697
19,23,27,48,33,12,34,15.807731210555293
37,26,18,25,15,20,31,20.60824383015937
26,22,14,16,10,40,36,15.662703370505778
46,22,46,39,35,3,17,5.01040073742323e-05
34,50,23,52,31,44,40,31.01743448699549
14,13,24,14,14,33,46,17.54319111067205
18,35,24,36,26,40,9,10.211749934087777
51,15,5,25,44,12,27,0.009796561845143584
6,16,10,18,37,32,41,0.009891789711450454
26,32,32,15,45,21,40,24.070021711248636
36,35,20,39,14,5,51,0.009796561854009999
22,33,37,37,16,33,37,21.868435900315706
36,13,5,43,19,35,10,0.009805577415623329
39,21,26,40,21,44,12,14.114012023979242
28,47,24,35,18,16,30,21.193746061789614
3,52,4,35,45,49,26,0.00868597551091825
12,31,47,10,3,41,5,-21.177788472329283
16,13,21,49,10,10,48,12.714686054380781
33,39,16,26,12,16,7,7.470091622589171
21,21,41,38,44,50,36,27.890696894235056
34,38,32,50,30,25,49,33.805106426450244
3,30,28,30,27,41,6,-20.795225161880406
24,23,13,36,27,28,23,17.156486083903197
21,23,28,48,7,30,33,-21.191876829859762
15,31,43,9,51,16,47,1.6162606126649113
41,48,20,31,37,52,11,12.911388867472553
44,8,43,32,7,42,19,-21.191871959236554
40,19,18,27,10,3,11,5.009440188633815e-05
30,46,16,33,31,11,42,14.418337435952733
27,33,22,45,36,51,39,29.619279640268456
45,21,41,45,29,42,38,39.74176165037195
43,42,6,34,3,30,27,-21.18931501299248
9,32,17,30,36,3,32,2.9300098692678278e-05
29,15,26,47,36,51,28,34.764796644289945
39,38,4,47,18,27,43,5.010432983279453e-05
30,30,10,38,49,29,25,13.040982551845286
37,23,8,20,30,33,33,-21.189315198919513
50,25,12,30,23,27,23,15.807147201370464
12,36,40,28,7,20,45,-21.190321726570637
15,32,8,44,27,5,31,0.009796422280563662
31,51,40,51,46,35,51,41.302119537327286
49,32,28,40,36,13,40,17.160925898487
46,24,40,23,17,8,30,-21.189315035233353
22,35,24,43,38,23,11,12.911383635753795
42,47,35,31,42,52,19,23.480113388988947
42,4,8,33,37,3,3,5.015045045892179e-05
25,34,8,32,50,46,30,-21.18931512336224
29,36,28,26,5,22,4,-21.177236862074466
4,29,41,36,29,48,24,-21.1754204056832
48,28,49,33,27,35,45,37.06466764007178
47,45,21,41,34,25,9,10.211735182075014
27,16,46,36,46,44,21,26.893303378392933
26,52,23,43,42,21,32,28.232885441234238
3,16,34,42,15,48,5,-20.795225161880406
42,14,38,29,10,16,8,8.90410974948204
15,31,23,30,51,43,39,19.52929852516895
25,5,47,40,49,31,17,20.926416579597404
24,5,30,51,46,21,42,24.86918554725447
25,47,47,42,11,8,48,-21.18931512336224
46,25,44,21,10,26,28,16.087677125751988
34,51,11,40,15,30,35,14.343876885713525
28,20,6,39,35,11,44,-21.189315014189134
15,35,9,20,25,43,16,-10.587435447280685
